id,nh_text
56622565,"<hight50> $2,875/Brand New 2br/1ba House w/ Garage


Almost Brand New, 2 Bedroom, 1 Bath house with separate laundry room w/ washer/dryer. New Kitchen with all Stainless, dishwasher and disposal.  Single car garage with plenty of storage.  Available now.  Front door and back door off of Laundry room.  $2,875 a month.  Garbage is paid by Landlord, all other utilities paid by tenant.  Small dog or cat is ok.  Great Location - Ivy Hill, 9 blocks from Lake Merritt, bus stop 1/2 a block away.    Address  is 810 E. 22nd St.  Corner of 8th Ave and 22nd. street.
House is available to show at any time - just contact me or Ava Atwood at
show contact info
 click to show contact info"
77015006,"<hight50> Downtown Brand New Remodeled 2-bedroom Apartment


Convenient location, reasonable price, newly remodeled two-bedroom apartment with kitchen, central AC."
55928960,"<hight50> First Floor Apartment


Looking for our new neighbor. We are a family who is renting out the1st floor apartment of a two-unit building. We live in the upper unit.
Two and a half bedroom apartment has a new central A/C and heating. Older building (1880s) and has some quirks but a nice space with hardwood floors. Bedrooms are not large, but apartment has a bonus room that could be used as an office, child's room or art studio. Apartment has a living room and a dining room as well.
No yard and plenty of street parking. This is a great location with park space just across the street and a community garden a block away. Easy walk to Pilsen 18th Street and UIC, also close to Chicago River, Chinatown, and South Loop area. Nearest El station is Orange Line at Halsted, a ten minute walk, and steps away from Halsted buses.
One month deposit, 1-year lease + credit check is required.
We are looking for community-minded folks who value communication and are thoughtful neighbors. Pets negotiable."
76579662,"<hight50> Santa Monica 2-Bdrm Apartment


Great, bright upper corner unit in 10-unit building with windows all around! Two bedrooms with ceiling fans, one bedroom with half-bath and a full bathroom off the hall. Huge, recently remodeled kitchen and dining area with tile floors.  Hardwood floors throughout the rest of the apartment.  All freshly painted, and new window coverings.  1-car Garage Parking plus permit parking on the street. Great bus service one block away, routes to UCLA, the beach, and beyond! A short walk to the Expo line train to the beach or downtown Los Angeles.  Only one common wall, nobody above or below."
80488642,"<hight50> Upgraded 1 Bedroom in Baldwin Hills | Quartz Counters | SS Appliances


Clean, bright, 2 bedroom, 1 bath, newly refinished wood floor living room with a view and a spacious kitchen with new flooring and a large pantry/storage. Located high up with a beautiful view of Los Feliz hills and the Rowena Reservoir. Has plenty of storage spaces. Great location where you can walk to the markets (Trader Joes, Gelsons, etc), restaurants, and shops. One year minimum lease. First month and security deposit. Available  in November.
By appt. only."
56482012,"<hight50> Deleaded 2BR Apartment with Garage parking


A beautiful deleaded 2 bedroom apartment available for rent starting September between Coolidge Corner and Brookline Village in Brookline.
Apartment features:
- 2 Bedrooms (1 Master Bed and 1 Guest Bedroom)
- Large living room
- In building laundry in basement
- Deleaded - very rare and perfect for young kids
- Excellent school system - desirable Pierce school
- Professional landscaping with beautiful terrace
- Top floor unit
- Garage parking available (extra fee)
- Extra storage in basement
- Heat and hot water included
Please contact via email or by phone for more information or showing."
82724417,"<hight50> Queen Anne Condo for Lease


Galer Gardens
https://www.seattlerentals.com/18945
1417 Queen Anne Ave N
Seattle, WA 98109
Neighborhood: Queen Anne
Type of Unit: 2 bedrooms, 2 bathrooms (Condo)
Date Available: Apr, 8
Rent: $2450 per month
Available first week of April.Great condo located in upper Queen Anne with two master bedrooms and two bathrooms. Open style kitchen/ living area with private outdoor patio space. Home features hardwood floors, gas fireplace, in-unit washer/dryer, great natural light and update kitchen. Water, sewer and garbage utilities are included in the monthly rental rate along with storage and TWO parking spaces. Galer Gardens has easy access to retail, restaurants, parks and transit located off Queen Anne Ave. Pets considered on case by case basis with additional $50 pet rent. 1st full months rent + security deposit + HOA fee ($400) due prior to move-in. 12 month lease term minimum.
Amenities:
Near Bus LineElevatorControlled Access BuildingHigh-Speed Internet AvailableRoof DeckBalcony / Patio / DeckWasher/Dryer In UnitDishwasherGarbage DisposalHardwood FloorsCarpetFireplaceStorageWalk-in Closet"
40022291,"<hight50> Uptown Special 2/2 w/off st. pk all appliances

 Corner Tri unit in popular Univ. district two blocks from Carrollton Ave has owners unit now currently available for rent. Terrific area on same block as Panola St. Cafe. Convenient to downtown, universities and Oak St. area. Freshly renovated, both inside and out. This unit features a combination living/dining area, master bedroom & on-suite bath, kitchen and second bathroom all downstairs, with large second bedroom upstairs. Unit has all appliances, offstreet parking for two, and private covered patio.  NO DOGS. Call David Reeves w/Keller Williams Realty for a showing."
32619622,"<hight50> Quality Apartment with Unparalleled Lake Union View

 DESCRIPTION: Available soon is a wonderful updated apartment located in a great building on the east side of Queen Anne Hill with an unparalleled panoramic view of Lake Union. Bike lanes and bus stops near by. Located on 8th away from noisy arterial streets. Just a great walking and biking location. LOCATION: The Martinique Apartments 2142 8th Avenue North Seattle, WA 98109 - County: King - Neighborhood: East Queen Anne - School District: Seattle - Between Westlake and Dexter: major bus and bike routes FEATURES: -Bedrooms: 2 -Bathrooms: 2 -Square Footage: 988 -Community Clubhouse with Kitchen, Lounge, Pool Table -Workout room with assorted high end exercise equipment -2 Community Laundry Rooms / Internet viewable -Parking: Assigned off street included -Pet Policy: Cats with $200 deposit. No Dogs. -Security Deposit - $500, Adm. Fee - $200 -Resident pays all utilities INFORMATION: Preferred Employer Programs are illegal in the City of Seattle Application Criteria:   https://www.on-site.com/apply/property/81598 For more information check us out at: www.martiniqueapts.com"
32892040,"<hight50> 2 Bedroom Condo Style Apt. approx. 1000 sq.ft. on Ground Level w/Yard

 Excellent location convenient to shopping, restaurants and bus stop Excellent School /Edmond School District Spacious Condo style apt. one on  ground level with your own front yard And one on second level with wood burning Fire Place and Balcony Formal laundry room Huge living room Family community/very friendly On-site maintenance crew Pet friendly Section 8 approved this unit Please call /text for showing at show contact info Thank You"
32517011,"<hight50> Beautifully Renovated 2 Bdrm, 1 Bath House - North Seattle

 1,100 sq ft home with large (6,800 sq ft) fully fenced yard New kitchen fully updated featuring: -	All stainless steel Energy Star rated appliances including new dishwasher, large capacity LG washer & dryer -	Large pantry - loads of storage -	Sight lines to dining area and family room - open, skylight Updated 4 piece bathroom Bright bedrooms with new carpet, interior completely repainted, new lighting throughout Family room with high vaulted ceilings -     Woodstove heats entire home if you choose Large private back yard -     French doors lead out onto huge wrap-around deck -	Storage shed -	Garden plot ready for your fall planting Great Location - shopping, easy access to downtown, great neighborhoods nearby: -	1.75 mi to Northgate Mall -	1.5   mi to North Seattle Community College -	2.0   mi to Greenlake -	5.0   mi to South Lake Union Seattle area (Amazon offices) -	Walking distance to bus routes  - including rapid transit to downtown"
32712298,"<hight50> spacious 2Bed 1Bath single family home

 This single-family home is located in a great location! Seattle, Bellevue, and SeaTac International Airport are all at your fingertips. This quiet neighborhood lies within walking distance of schools, stores, restaurants, King County Public Library, and a variety of bus routes. Updated kitchen and spacious living area allow for entertaining and lounging. The fenced yard ensures privacy and pet safety, and provides a large space for gardening."
